filename,label
test_galaxy_0.jpg,3
test_galaxy_1.jpg,2
test_galaxy_10.jpg,1
test_galaxy_100.jpg,0
test_galaxy_1000.jpg,1
test_galaxy_1001.jpg,3
test_galaxy_1002.jpg,3
test_galaxy_1003.jpg,2
test_galaxy_1004.jpg,0
test_galaxy_1005.jpg,0
test_galaxy_1006.jpg,2
test_galaxy_1007.jpg,0
test_galaxy_1008.jpg,2
test_galaxy_1009.jpg,0
test_galaxy_101.jpg,3
test_galaxy_1010.jpg,3
test_galaxy_1011.jpg,2
test_galaxy_1012.jpg,3
test_galaxy_1013.jpg,3
test_galaxy_1014.jpg,2
test_galaxy_1015.jpg,0
test_galaxy_1016.jpg,0
test_galaxy_1017.jpg,2
test_galaxy_1018.jpg,1
test_galaxy_1019.jpg,2
test_galaxy_102.jpg,1
test_galaxy_1021.jpg,1
test_galaxy_1022.jpg,0
test_galaxy_1024.jpg,1
test_galaxy_1027.jpg,3
test_galaxy_1031.jpg,1
test_galaxy_1034.jpg,1
test_galaxy_1778.jpg,0
test_galaxy_1879.jpg,2
test_galaxy_1926.jpg,1
test_galaxy_827.jpg,3
